Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
09-07-2020,1807.5,1834.4,1787,1824.6,1813.96,705240,24809,1279279281,78673,11.16,47.4,17.1
10-07-2020,1829.9,1884.4,1824.6,1878.5,1860.72,1140279,62940,2121742003,309166,27.11,59.8,48.6
13-07-2020,1908.5,1947,1900.1,1934.3,1927.94,1572760,57783,3032183745,323731,20.58,46.9,25.8
14-07-2020,1934.7,1941,1887.8,1916.65,1917.73,1133553,39745,2173850589,235523,20.78,53.2,-18.05
15-07-2020,1938.7,1978.5,1798.15,1845.6,1922.45,2839024,103272,5457872836,590105,20.79,180.35,-93.1
16-07-2020,1850,1868,1812.25,1843.1,1843.3,1647250,74770,3036381500,358175,21.74,55.75,-6.9
17-07-2020,1845,1919.9,1838.2,1911.35,1878.38,989480,35102,1858621481,169435,17.12,81.7,66.35
20-07-2020,1920.05,1931.25,1899.6,1919.3,1916.68,756307,25642,1449600662,189983,25.12,31.65,-0.75
21-07-2020,1941.8,1976.8,1935,1971.85,1964.41,1034423,29779,2032033664,373951,36.15,41.8,30.05
22-07-2020,1980.05,2010,1960,2004.1,1992.88,1467946,64169,2925446597,429786,29.28,50,24.05
23-07-2020,2004.1,2078.9,1991.1,2060.65,2035.18,1379049,57442,2806609628,372790,27.03,87.8,56.55
24-07-2020,2060,2162.8,2055.9,2146.2,2129.77,2889272,110531,6153472547,500404,17.32,106.9,86.2
27-07-2020,2189.5,2198.7,2128.05,2155.85,2168.32,2313290,96189,5015955950,475255,20.54,70.65,-33.65
28-07-2020,2163.8,2193.4,2152.2,2177.45,2175.72,1089402,36417,2370232937,249150,22.87,41.2,13.65
29-07-2020,2180,2185.2,2071,2095.85,2122.12,1525220,55949,3236693086,316499,20.75,114.2,-84.15
30-07-2020,2100,2139,2072.3,2108.65,2111.03,1203821,48887,2541305037,143715,11.94,66.7,8.65
31-07-2020,2125,2129.85,2053.3,2066.95,2078.21,1283236,54240,2666831012,247588,19.29,76.55,-58.05
03-08-2020,2059,2059,2004,2008.45,2029.88,714727,29777,1450811436,178236,24.94,55,-50.55
04-08-2020,2017.1,2167,2001.25,2151.15,2100.69,2053197,62586,4313139590,478170,23.29,165.75,134.05
05-08-2020,2170,2195,2118,2126.65,2154.7,1793838,74937,3865174810,376547,20.99,77,-43.35
06-08-2020,2160,2167.55,2106.95,2134.55,2140.25,1248632,49631,2672381302,288062,23.07,60.6,-25.45
07-08-2020,2124.55,2157,2120.1,2146.7,2140.87,960776,36944,2056900349,220791,22.98,36.9,22.15
10-08-2020,2156.5,2164.95,2108.25,2119.6,2138.65,825626,38454,1765724320,248131,30.05,56.7,-36.9
11-08-2020,2137.7,2160,2101.15,2134.05,2132.48,697367,31300,1487120307,90457,12.97,58.85,-3.65
12-08-2020,2124,2144.9,2106.6,2127.6,2129.67,702687,31942,1496490592,199332,28.37,38.3,3.6
13-08-2020,2133.5,2139,2110,2122.3,2122.06,458203,19387,972333391,134877,29.44,29,-11.2
14-08-2020,2122.3,2156.5,2090.2,2114.1,2131.91,1012345,49098,2158228148,287119,28.36,66.3,-8.2
17-08-2020,2103.15,2107.3,2070,2091.45,2085.57,923799,41990,1926647139,235742,25.52,37.3,-11.7
18-08-2020,2089.7,2132.9,2082.95,2118.75,2119.21,642400,32483,1361381146,185500,28.88,49.95,29.05
19-08-2020,2141.95,2154,2121.35,2133.2,2139.15,758768,36447,1623119603,204280,26.92,32.65,-8.75
20-08-2020,2118.05,2123.9,2087.8,2096.35,2108.79,494200,30536,1042163472,136932,27.71,36.1,-21.7
21-08-2020,2119.8,2119.8,2077.05,2081.75,2096.93,437199,19487,916773740,121391,27.77,42.75,-38.05
24-08-2020,2098.8,2104.65,2070.15,2096.05,2088.31,560786,22213,1171093059,162385,28.96,34.5,-2.75
25-08-2020,2105,2111.3,2078.3,2082,2089.3,481884,26648,1006799665,144101,29.9,33,-23
26-08-2020,2087.4,2147.15,2047.25,2136.85,2105.39,857465,36417,1805301942,158433,18.48,99.9,49.45
27-08-2020,2146.25,2148.5,2103.75,2111.7,2126.33,397191,17384,844557704,75812,19.09,44.75,-34.55
28-08-2020,2120,2131.9,2106.2,2115.6,2119.52,463554,26015,982513441,125963,27.17,25.7,-4.4
31-08-2020,2172,2172,2061.25,2078.55,2123.54,770897,35129,1637030802,141428,18.35,110.75,-93.45
01-09-2020,2095,2121.75,2063.45,2087.55,2091.52,542387,26465,1134412373,75538,13.93,58.3,-7.45
02-09-2020,2095,2137,2085.5,2128.6,2100.57,1979773,33347,4158643031,1476442,74.58,51.5,33.6
03-09-2020,2128,2137,2103.2,2112.15,2113.62,274998,17060,581242587,60225,21.9,33.8,-15.85
04-09-2020,2065.6,2097,2065.6,2077.4,2084.38,461018,28592,960938134,138220,29.98,31.4,11.8
07-09-2020,2080.2,2105,2045.35,2082.4,2070.45,625358,36193,1294771188,278944,44.61,59.65,2.2
08-09-2020,2093.8,2120,2080.9,2107.05,2109.51,481632,20618,1016007253,211381,43.89,39.1,13.25
09-09-2020,2085,2167.2,2085,2161.25,2140.04,850676,38623,1820479248,312223,36.7,82.2,76.25
10-09-2020,2185,2343.9,2176.15,2314.65,2277.88,2449702,98665,5580139024,611376,24.96,167.75,129.65
11-09-2020,2314.65,2337,2286.05,2318.85,2318.47,1330635,58453,3085033793,379174,28.5,50.95,4.2
14-09-2020,2319.75,2360,2281.95,2302.35,2322.6,619976,27379,1439953245,78561,12.67,78.05,-17.4
15-09-2020,2315,2326.5,2288.2,2317.9,2308.14,509141,21105,1175166270,148557,29.18,38.3,2.9
16-09-2020,2323.7,2368.8,2311.75,2323.85,2339.94,653164,26455,1528366208,174187,26.67,57.05,0.15
17-09-2020,2319,2334.4,2293,2299.35,2309.87,421866,17905,974457148,130912,31.03,41.4,-19.65
18-09-2020,2315.8,2319.6,2277.05,2305.5,2304.81,518389,24971,1194789860,231928,44.74,42.55,-10.3
21-09-2020,2305,2336.55,2248,2255.15,2297.32,501009,25843,1150978451,172132,34.36,88.55,-49.85
22-09-2020,2287,2287,2201.35,2211.15,2222.41,693332,24225,1540867623,370132,53.38,85.65,-75.85
23-09-2020,2275,2276.5,2206.15,2229.55,2241.91,774144,40123,1735558690,160960,20.79,70.35,-45.45
24-09-2020,2210,2226,2175.65,2181.15,2200.7,439081,21729,966283603,173631,39.54,50.35,-28.85
25-09-2020,2196,2212.6,2168.6,2201.7,2189.78,413085,22864,904564436,114584,27.74,44,5.7
